#!signoff-version 1
# Curator sign-off. ONE LINE PER SIGNED RECORD. Nothing is signed today.
#
# WHAT A LINE HERE MEANS
#   A named human read the record named in column 1, checked its sequence
#   against the accession its provenance cites, and wrote or checked its
#   description from the primary source. That is ReviewStatus::Reviewed's own
#   definition (crates/pl-features/src/lib.rs). 'verified' means the same plus
#   confirmation in a real construct.
#
# WHAT content_sha256 IS, AND WHAT IT IS NOT
#   It is the digest of the row's semantic content -- Db::content_digest over
#   SIGNED_COLUMNS plus the record's provenance -- taken when it was signed. Its
#   job is STALE-APPROVAL DETECTION: if the sequence, the description, the
#   notes, the cited accession or the licence change afterwards, the digest
#   stops matching and the approval lapses automatically.
#
#   It is NOT authentication. The build computes the same digest from the same
#   content, so nothing about the hash stops a machine writing a valid-looking
#   line. Three things do, in descending strength:
#     1. The build never writes this file. It only reads it, and CI proves that
#        by running the build and requiring `git diff --exit-code` here.
#     2. build.py's coerce_row() refuses any stage that emits a review_status or
#        a curator, so a signature cannot be smuggled in from the other side.
#     3. Attribution is the git commit. Without code-signing certificates the
#        strongest claim available is "a human committed this line and git says
#        who". A detached signature (SIGNOFF.tsv.asc) can be added later and CI
#        will verify it when present; today the assertion rests on the commit
#        history and not on cryptography, and saying otherwise would be the same
#        species of overclaim this project exists to avoid.
#
# THE INVARIANT
#   A missing, blank, malformed, stale or unreadable sign-off can only ever
#   REMOVE trust, never add it. Every failure path resolves to 'proposed'.
#
# HOW TO SIGN
#   1. Read the row. Actually read it, and there is a command for that:
#        python features/build/build.py --show PLF:3000
#      It prints every column the signature covers, unescaped, plus the record's
#      provenance quads and the resulting digest -- i.e. the hash's own input,
#      rendered. Signing a digest nobody has read is not an attestation.
#   2. Take the 64 hex characters from that output, or run --print-digests for
#      the whole table at once.
#   3. Add one line below: the record id, 'reviewed' or 'verified', your name,
#      today's date, that 64-character digest, and a note saying what you
#      checked.
#   4. Rebuild. `check_signoff.py` and the Rust loader both recompute the digest
#      and will refuse it if it does not match.
#
#   --show and --print-digests WRITE NOTHING. They used to: both ran the whole
#   build and then its writer, and --out defaults to the source tree, so
#   "print me the digests so I can sign" silently republished features.tsv and
#   provenance.tsv underneath the curator. Both now return before the writer.
#
# HOW TO RE-SIGN
#   Replace the line; do not accumulate. Git already holds the history, and a
#   file that grows a line per re-signature stops being reviewable, which is the
#   only reason it is a TSV.
#
# ORDER OF WORK, learned the hard way and worth stating: change prose FIRST,
# then sign. `description` and `notes` are inside the digest, so rewriting them
# after signing lapses the signature and someone will be tempted to "fix" that
# by loosening the digest.
record_id	review_status	curator	signed_date	content_sha256	note
PLF:0001	reviewed	Lior Lobel	2026-07-28	6d110e4c2fb5ac4de57ddfd91ffecc04bdf23b6f7f7541744cb92d05b8d7e1b2	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0002	reviewed	Lior Lobel	2026-07-28	0e35387c76d0812951dfdc25ab8102d6ed531249390b98e419439727d92a7549	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0003	reviewed	Lior Lobel	2026-07-28	cad8443b62138127607a3a4b884e23f409c442436d4b534f5905ff73306095cc	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0004	reviewed	Lior Lobel	2026-07-28	628b220a8ff50ef05c211e332e6ded11f0a1ef3a5d560da2414dc5179fe3017b	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0005	reviewed	Lior Lobel	2026-07-28	a5036d7e6a5949b94cd6135c84de058b0302bb4617854581c51516c3e5a756ad	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0006	reviewed	Lior Lobel	2026-07-28	1673e91738d40b8b37e1e324befc7573f0408cbe81743dbed9fd2d1569d0f801	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0007	reviewed	Lior Lobel	2026-07-28	d3159c41d40363f632967a2a4564ce8395f34f488a93beab06fab514207f97fe	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0008	reviewed	Lior Lobel	2026-07-28	0980150aeef94106d3ee499a02f46ab68166dba3eaf369f8ae2d81f9d6d9a719	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0009	reviewed	Lior Lobel	2026-07-28	064f97b644d4801ec129eaa495134f4b9afcf92fe13202b86d046f3d8a4b05f4	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
PLF:0010	reviewed	Lior Lobel	2026-07-28	00538e321f491830ac89f2ad0ae1712d4ca77ccb25f069a0f5a218e8a9a7bb40	PI bulk approval of the v0.1 build. Basis: the build's own checks (translation exact against source; byte-identity to the cached NCBI records) plus an independent re-derivation using a codon table written outside the builder. NOT a per-row manual read of each cited accession.
